age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income-class
39,13, White, Male,2174,0,40,0
50,13, White, Male,0,0,13,0
38,9, White, Male,0,0,40,0
53,7, Black, Male,0,0,40,0
28,13, Black, Female,0,0,40,0
37,14, White, Female,0,0,40,0
49,5, Black, Female,0,0,16,0
52,9, White, Male,0,0,45,1
31,14, White, Female,14084,0,50,1
42,13, White, Male,5178,0,40,1
37,10, Black, Male,0,0,80,1
30,13, Asian-Pac-Islander, Male,0,0,40,1
23,13, White, Female,0,0,30,0
32,12, Black, Male,0,0,50,0
34,4, Amer-Indian-Eskimo, Male,0,0,45,0
25,9, White, Male,0,0,35,0
32,9, White, Male,0,0,40,0
38,7, White, Male,0,0,50,0
43,, White, Female,0,0,45,1
40,16, White, Male,0,0,60,1
54,9, Black, Female,0,0,20,0
35,5, Black, Male,0,0,40,0
35,5, Black, Male,0,0,40,0
43,7, White, Male,0,2042,40,0
59,9, White, Female,0,0,40,0
56,13, White, Male,0,0,40,1
19,9, White, Male,0,0,40,0
39,9, White, Male,0,0,80,0
49,9, White, Male,0,0,40,0
23,12, White, Male,0,0,52,0
20,10, Black, Male,0,0,44,0
45,13, White, Male,0,1408,40,0
30,10, White, Male,0,0,40,0
22,10, Black, Male,0,0,15,0
48,7, White, Male,0,0,40,0
21,10, White, Male,0,0,40,0
19,9, White, Female,0,0,25,0
48,12, White, Male,0,0,40,0
31,5, White, Male,0,0,43,0
53,13, White, Male,0,0,40,0
24,13, White, Male,0,0,50,0
49,9, White, Female,0,0,40,0
25,9, White, Male,0,0,35,0
57,13, Black, Male,0,0,40,1
53,9, White, Male,0,0,38,0
44,14, White, Female,0,0,40,0
41,11, White, Male,0,0,40,0
29,11, White, Male,0,0,43,0
25,10, Other, Female,0,0,40,0
47,15, White, Female,0,1902,60,1
50,13, White, Male,0,0,55,1
47,9, White, Male,0,0,60,0
43,10, White, Male,0,0,40,1
46,3, White, Male,0,0,40,0
35,11, White, Male,0,0,40,0
41,9, White, Male,0,0,48,0
30,9, White, Male,5013,0,40,0
30,13, White, Male,2407,0,40,0
48,9, White, Male,0,0,40,0
42,16, White, Male,0,0,45,1
29,10, White, Male,0,0,58,0
36,9, White, Male,0,0,40,0
28,10, White, Female,0,0,40,0
53,9, White, Female,0,0,40,1
49,10, White, Male,0,0,50,1
19,10, White, Male,0,0,32,0
31,13, Black, Female,0,0,40,0
29,13, White, Male,0,0,70,1
23,10, White, Male,0,0,40,0
79,10, White, Male,0,0,20,0
27,9, White, Male,0,0,40,0
40,12, White, Male,0,0,40,0
18,7, White, Female,0,0,22,0
31,4, White, Male,0,0,40,0
18,9, White, Male,0,0,30,0
52,13, White, Male,0,0,40,0
46,9, White, Female,0,0,40,0
59,9, White, Male,0,0,48,0
44,9, White, Female,14344,0,40,1
53,9, White, Female,0,0,35,0
49,9, White, Male,0,0,40,1
33,14, White, Male,0,0,50,0
30,5, White, Male,0,0,40,0
43,16, White, Female,0,0,50,1
57,11, White, Male,0,0,40,0
37,10, White, Female,0,0,40,0
28,10, Black, Female,0,0,25,0
34,13, White, Male,0,0,40,1
29,10, White, Male,0,0,50,0
48,16, White, Male,0,1902,60,1
37,10, White, Male,0,0,48,1
48,12, White, Female,0,0,40,0
32,9, Black, Male,0,0,40,0
76,14, White, Male,0,0,40,1
44,13, White, Male,15024,0,60,1
47,14, White, Female,0,0,50,0
20,10, White, Female,0,0,40,0
29,9, White, Male,0,0,40,0
32,9, White, Male,7688,0,40,1
30,7, White, Male,0,0,40,0
31,9, White, Female,0,0,40,0
42,9, White, Male,0,0,40,0
24,13, White, Male,0,0,40,0
38,15, White, Male,0,0,40,1
56,9, White, Male,0,1887,50,1
28,10, White, Female,4064,0,25,0
36,9, White, Female,0,0,40,0
53,5, White, Male,0,0,50,0
56,10, White, Male,0,0,50,0
49,11, Black, Male,0,0,40,1
55,10, White, Male,0,0,56,0
22,9, White, Male,0,0,41,0
21,10, White, Female,0,0,40,0
40,13, White, Male,0,0,60,0
30,13, Black, Male,0,0,40,0
29,13, White, Male,0,0,50,1
19,10, Black, Male,0,0,35,0
47,13, White, Female,0,0,40,1
20,10, White, Female,0,1719,28,0
31,12, White, Male,0,0,40,1
39,10, White, Male,0,0,40,0
28,12, White, Female,0,0,60,0
24,9, White, Female,0,1762,40,0
38,9, White, Male,4386,0,35,0
37,13, White, Male,0,0,50,0
46,12, Black, Female,0,0,36,0
38,14, White, Male,0,0,40,1
43,9, White, Male,0,0,60,0
27,11, White, Female,0,0,35,0
20,10, White, Male,0,0,20,0
49,10, Asian-Pac-Islander, Male,0,0,40,1
61,9, White, Male,0,0,40,0
27,10, White, Female,0,0,40,0
19,10, White, Male,0,0,30,0
45,11, White, Female,0,1564,40,1
70,10, White, Male,0,0,40,0
31,9, Black, Female,0,0,30,0
22,10, White, Male,0,0,24,0
36,9, White, Female,0,0,24,0
64,7, White, Male,0,2179,40,0
47,10, White, Female,0,0,38,0
34,9, White, Female,0,0,40,0
33,13, Asian-Pac-Islander, Female,0,0,40,0
21,9, White, Male,0,0,35,0
48,9, White, Male,0,0,46,0
23,13, White, Male,0,0,40,0
71,10, Black, Male,0,1816,2,0
29,9, White, Male,0,0,60,0
42,13, Black, Male,0,0,50,0
25,9, White, Female,0,0,40,0
44,14, Asian-Pac-Islander, Female,0,0,40,0
28,9, Asian-Pac-Islander, Female,0,0,40,0
45,14, White, Male,0,0,40,1
36,10, White, Female,0,0,40,0
39,12, White, Male,0,0,42,0
46,14, White, Male,0,0,40,0
18,7, White, Male,0,0,16,0
66,11, White, Female,0,0,20,0
27,9, White, Male,0,1980,40,0
28,9, White, Male,0,0,40,0
51,10, White, Male,0,1977,40,1
27,13, White, Male,0,0,50,0
28,13, White, Male,0,0,40,1
27,9, White, Female,0,0,25,0
21,9, Black, Male,0,0,40,0
34,9, Black, Male,0,0,40,0
18,9, White, Male,0,0,12,0
33,13, White, Male,0,0,65,0
44,10, Black, Male,0,0,38,1
43,10, White, Female,0,0,40,0
30,10, Black, Male,0,0,45,0
40,4, White, Male,0,0,40,1
37,10, White, Male,0,0,42,1
34,9, Black, Male,0,0,40,0
41,13, White, Female,0,0,40,0
31,14, White, Female,0,0,50,0
58,16, White, Male,0,0,1,1
38,10, Black, Female,0,0,28,0
24,10, White, Male,0,0,40,0
41,13, Black, Male,0,0,40,0
47,10, White, Male,0,0,45,0
41,13, White, Male,0,0,24,0
23,3, White, Male,0,0,40,0
36,10, White, Male,0,0,40,0
40,14, White, Female,14084,0,55,1
35,14, White, Male,7298,0,40,1
24,9, White, Male,0,0,40,0
26,14, White, Female,0,1876,40,0
51,13, White, Male,0,0,50,1
42,10, White, Female,0,1340,40,0
37,9, White, Female,0,0,35,0
18,7, White, Female,0,0,40,0
36,13, Black, Male,7298,0,36,1
35,9, White, Male,0,0,60,0
58,9, White, Female,15024,0,35,1
17,7, White, Female,0,0,12,0
44,9, Black, Male,0,0,40,0
37,9, White, Male,0,0,40,1
35,10, Amer-Indian-Eskimo, Female,0,0,40,0
60,9, Asian-Pac-Islander, Male,0,0,40,0
54,4, White, Male,0,0,40,1
37,13, Black, Male,0,0,60,1
50,12, White, Female,0,0,40,0
38,13, White, Male,0,0,50,0
45,13, White, Male,0,0,55,0
25,6, White, Male,0,0,40,0
31,10, White, Male,0,0,40,0
90,9, Black, Male,0,2206,40,0
54,9, Black, Male,0,0,20,0
53,1, White, Female,0,0,35,0
18,9, White, Female,0,0,40,0
66,9, White, Male,1409,0,50,0
75,11, White, Female,0,0,20,0
65,9, White, Female,0,0,40,0
35,7, Black, Male,3674,0,40,0
41,9, Black, Female,0,0,38,0
25,10, White, Male,0,0,42,0
33,10, Other, Female,0,0,40,0
28,15, White, Male,0,0,55,1
59,9, White, Male,0,0,40,0
40,10, White, Female,0,0,38,0
41,13, White, Male,0,0,50,1
38,14, White, Male,0,0,70,1
23,9, White, Male,0,0,40,0
40,13, White, Male,0,0,40,1
41,9, White, Female,0,0,20,0
24,12, White, Male,0,0,50,0
38,10, White, Male,0,1741,40,0
58,9, White, Male,0,0,45,1
32,9, White, Female,0,0,34,0
40,12, White, Male,0,1977,60,1
41,15, White, Female,0,0,40,1
42,13, Black, Female,0,0,40,0
59,6, Black, Female,0,0,30,0
19,10, White, Male,0,0,40,0
58,10, White, Male,0,0,20,0
42,9, Asian-Pac-Islander, Male,0,0,40,1
20,9, White, Female,0,0,40,0
32,9, White, Female,0,0,30,0
45,11, White, Female,0,0,45,0
50,4, White, Male,0,0,40,0
36,13, White, Female,0,0,40,0
45,9, White, Male,0,0,60,0
17,7, White, Male,0,0,12,0
59,10, White, Male,4064,0,40,0
26,7, White, Male,0,0,40,0
37,10, Asian-Pac-Islander, Male,0,0,75,1
64,9, White, Male,0,0,40,1
33,13, White, Female,0,0,45,0
33,9, White, Female,0,0,40,1
61,9, White, Male,0,0,40,1
17,5, White, Male,1055,0,24,0
50,14, White, Male,2407,0,98,0
27,14, White, Male,0,0,35,0
30,9, White, Female,0,0,40,0
43,9, Black, Male,0,0,40,0
44,10, White, Male,7298,0,40,1
35,10, White, Female,0,0,40,0
25,10, White, Female,0,0,40,0
24,10, White, Female,7298,0,48,1
22,13, White, Female,0,0,15,0
42,10, White, Male,5178,0,40,1
